Firm,Website,Strategies,Number of Transactions,Number of States/Territories Operating,Years of Experience,"Total Value of Transactions ($, billions)","Average Deal Size ($, millions)",Number of Employees,"Average Transactions per Year ($, billions)","Average Yearly Transactions per Employee ($, millions)","Total Transactions per Employee ($, billions)"
Enhanced Capital,,,1000+,42,25,$6.40 ,,39,$0.26 ,$6.56 ,$0.16 
Advantage Capital,https://www.advantagecap.com,"small business, affordable housing, renewable energy",,39,34,$5.00 ,,220,$0.15 ,$0.67 ,$0.02 
Stonehenge Capital,https://stonehengecapital.com/tax-credit-solutions/,Private credit and growth equity for growth stage small businesses.,1000+,35,27,$1.40 ,5,72,$0.05 ,$0.72 ,$0.02 
City Scape,https://cityscapecapital.com,"direct equity for historic rehabilitation, new markets, solar energy tax credit",none,7,34,$1.40 ,,9,$0.04 ,$4.58 ,$0.16 
Hunt Capital Partners,https://huntcapitalpartners.com,focused primarily on affordable housing through LIHTC and other real-estate-related tax credit investments.,none,48,15,$3.80 ,,75,$0.25 ,$3.38 ,$0.05 
Monarch Capital,https://www.monarchprivate.com,"affordable housing, renewable energy, historic rehabilitation",,42,21,$9 ,21,73,$0.43 ,$5.87 ,$0.12 
Apterra Infrastructure Capital,https://www.apterra.com/,"senior secured, mezzaning, tax equity, project bonds, debt placement across industries",none,9,3,$9.00 ,,21,$3.00 ,$142.86 ,$0.43 
Greenprint Capital,https://greenprintcapital.com/about/,"Tax equity investing (ITC / PTC),
Tax credit transfers (Section 6418),
Private credit (bridge loans for tax credits),
Structured / hybrid project finance (T-flips, preferred equity)",70,47,7-Jun,$3.00 ,$45 ,16,$0.00 ,$0.00 ,$0.19 
Cinnaire,https://cinnaire.com/investors/,"LIHTC (Low-Income Housing Tax Credit) investing,
NMTC (New Markets Tax Credit) allocations,
Historic Tax Credits (HTC),
Community development lending + structured finance","768 community development loans
1,183 housing developments",9,33,$7.00 ,5,170,$0.21 ,$1.25 ,$0.04 
Merchants Capital,https://merchantscapital.com/,"affordable housing finance platform combining tax credit equity with bridge, construction, and permanent debt solutions.",,47,35,$50.00 ,,369,$1.43 ,$3.87 ,$0.14 
